PRAD,HR,P-value,Hr-Inv-lst,PCPG,HR,P-value,Hr-Inv-lst,PAAD,HR,P-value,Hr-Inv-lst,OV,HR,P-value,Hr-Inv-lst,THYM,HR,P-value,Hr-Inv-lst,UVM,HR,P-value,Hr-Inv-lst,UCEC,HR,P-value,Hr-Inv-lst,UCS,HR,P-value,Hr-Inv-lst,THCA,HR,P-value,Hr-Inv-lst,TGCT,HR,P-value,Hr-Inv-lst,STAD,HR,P-value,Hr-Inv-lst,SKCM,HR,P-value,Hr-Inv-lst,SARC,HR,P-value,Hr-Inv-lst,READ,HR,P-value,Hr-Inv-lst,LUAD,HR,P-value,Hr-Inv-lst,MESO,HR,P-value,Hr-Inv-lst,LUSC,HR,P-value,Hr-Inv-lst,LIHC,HR,P-value,Hr-Inv-lst,LGG,HR,P-value,Hr-Inv-lst,LAML,HR,P-value,Hr-Inv-lst,KIRP,HR,P-value,Hr-Inv-lst,KIRC,HR,P-value,Hr-Inv-lst,KICH,HR,P-value,Hr-Inv-lst,HNSC,HR,P-value,Hr-Inv-lst,GBM,HR,P-value,Hr-Inv-lst,ESCA,HR,P-value,Hr-Inv-lst,DLBC,HR,P-value,Hr-Inv-lst,CHOL,HR,P-value,Hr-Inv-lst,CESC,HR,P-value,Hr-Inv-lst,BRCA,HR,P-value,Hr-Inv-lst,BLCA,HR,P-value,Hr-Inv-lst,ACC,HR,P-value,Hr-Inv-lst,COAD,HR,P-value,Hr-Inv-lst
GUCY2D,1.10091986,0.89356343,0.90833133,GUCY2D,0.20094616,0.14494631,4.97645747,GUCY2D,1.28852594,0.34334418,0.77608061,GUCY2D,1.07286866,0.64814443,0.93208054,GUCY2D,0.645209121,0.618147407,1.549885096,GUCY2D,1.37973709,0.56511422,0.72477576,GUCY2D,3.24785006,0.05361295,0.30789599,GUCY2D,1.00132854,0.99708441,0.99867323,GUCY2D,1.4464217,0.50970456,0.69136131,GUCY2D,0.53065858,0.60494476,1.88445083,GUCY2D,1.58353163,0.04840098,0.63149986,GUCY2D,0.80438802,0.18031068,1.24318112,GUCY2D,0.59524696,0.02988247,1.67997498,GUCY2D,1.518246463,0.63074649,0.658654589,GUCY2D,0.78535783,0.184015792,1.273304935,GUCY2D,1.03634438,0.89446626,0.96493021,GUCY2D,0.94252657,0.71441498,1.06097805,GUCY2D,1.00267972,0.990005681,0.997327442,GUCY2D,1.282461649,0.239211867,0.779750413,GUCY2D,0.891328217,0.540907939,1.121921175,GUCY2D,0.839334713,0.628056462,1.191419805,GUCY2D,1.80747222,0.000293685,0.553258849,GUCY2D,1.391983016,0.622077955,0.71839957,GUCY2D,1.228297345,0.186790066,0.814135115,GUCY2D,0.849231904,0.40742955,1.177534658,GUCY2D,0.975167515,0.925533261,1.02546484,GUCY2D,6.68E-10,0.999163392,1496115036,GUCY2D,0.729711216,0.536733833,1.370405139,GUCY2D,0.756367814,0.283548195,1.322108082,GUCY2D,0.637998397,0.025223924,1.567402056,GUCY2D,0.72940696,0.102720377,1.370976772,GUCY2D,1.719689186,0.179987661,0.581500429,GUCY2D,1.243436124,0.49375805,0.804223057
H1F0,2.67180003,0.23260247,0.37427951,H1F0,1.37769168,0.72567609,0.72585181,H1F0,1.79780471,0.02920829,0.55623394,H1F0,0.8964173,0.48001026,1.11555187,H1F0,2.290857714,0.34235063,0.436517726,H1F0,0.43629477,0.147232,2.29202839,H1F0,0.98240599,0.97483383,1.01790911,H1F0,0.4426713,0.0327548,2.25901251,H1F0,2.22333849,0.17725759,0.44977407,H1F0,1.817708,0.62586028,0.55014337,H1F0,0.7872218,0.29827887,1.27029002,H1F0,0.63426196,0.00564106,1.57663563,H1F0,1.16517267,0.5094365,0.8582419,H1F0,0.182000537,0.121214072,5.494489284,H1F0,0.8627829,0.418352892,1.159040125,H1F0,1.05078787,0.85580017,0.95166686,H1F0,1.01501612,0.9273937,0.98520602,H1F0,0.743721326,0.164709128,1.344589653,H1F0,0.717705172,0.116325536,1.393329795,H1F0,0.927436603,0.688027596,1.078240816,H1F0,0.381032321,0.011667153,2.624449276,H1F0,0.838519904,0.268593267,1.192577535,H1F0,1.197829883,0.787974034,0.83484309,H1F0,1.041206991,0.795054807,0.960423824,H1F0,0.719192498,0.095167668,1.390448319,H1F0,0.81700587,0.458006514,1.223981415,H1F0,1.008867699,0.99304309,0.991210246,H1F0,1.303886135,0.598359073,0.766938135,H1F0,0.90388059,0.698495867,1.106340827,H1F0,0.690911285,0.064532972,1.447363825,H1F0,0.847851515,0.391519988,1.179451806,H1F0,4.798622425,0.000915624,0.208393141,H1F0,0.700876036,0.274278502,1.426785834
HGF,2.0561428,0.33125044,0.48634754,HGF,1.19003566,0.83443262,0.84031095,HGF,0.97553791,0.92528058,1.02507549,HGF,1.05426235,0.73180463,0.94853051,HGF,1.774998312,0.509020612,0.563380818,HGF,1.29189315,0.64789603,0.77405782,HGF,2.43078282,0.14145191,0.4113901,HGF,0.39555772,0.01554041,2.52807605,HGF,1.78098296,0.30309459,0.56148769,HGF,1.96312337,0.58186148,0.50939234,HGF,1.57551892,0.04350036,0.63471151,HGF,0.95802524,0.79264926,1.04381384,HGF,0.95578888,0.84509728,1.04625615,HGF,1.718114371,0.536818641,0.58203343,HGF,0.8733968,0.466940214,1.144954963,HGF,1.97021696,0.01327162,0.50755831,HGF,1.27961261,0.12724169,0.78148652,HGF,1.088135828,0.696846465,0.919002917,HGF,1.877243927,0.003913598,0.532695824,HGF,0.581895811,0.004615778,1.718520707,HGF,1.784716214,0.113915892,0.56031317,HGF,0.854326767,0.321170628,1.170512313,HGF,2.468684716,0.201520972,0.405074003,HGF,0.728686828,0.044478349,1.372331655,HGF,1.055152121,0.784220727,0.947730645,HGF,0.866145345,0.599509004,1.15454064,HGF,1.296536767,0.795249641,0.771285494,HGF,1.143058865,0.789627724,0.874845584,HGF,1.08764159,0.745859235,0.919420523,HGF,1.216954247,0.333815742,0.82172358,HGF,1.343353403,0.132748417,0.744405752,HGF,0.35243194,0.020076148,2.837427282,HGF,1.123372393,0.734861802,0.890176763
HMGB2,1.3196999,0.71676364,0.75774803,HMGB2,1.4736373,0.67115044,0.67859303,HMGB2,2.09248409,0.00687772,0.47790089,HMGB2,0.90619079,0.52373797,1.10352038,HMGB2,0.238298012,0.113639008,4.196426114,HMGB2,1.62865072,0.39580542,0.61400519,HMGB2,1.23518937,0.70470378,0.80959246,HMGB2,0.76977239,0.46934186,1.2990853,HMGB2,1.20558155,0.73047144,0.82947521,HMGB2,1.45E-09,0.99885151,691701157,HMGB2,0.9300253,0.74856235,1.07523956,HMGB2,0.69998508,0.02893879,1.42860188,HMGB2,1.26585814,0.3154926,0.78997793,HMGB2,2.037788931,0.518711703,0.490727957,HMGB2,1.175625523,0.377845417,0.850610998,HMGB2,4.80181575,1.70E-07,0.20825455,HMGB2,0.91335196,0.57287017,1.09486819,HMGB2,1.164593018,0.479448495,0.858669067,HMGB2,2.681681876,1.73E-05,0.372900309,HMGB2,0.870750387,0.461494442,1.148434746,HMGB2,1.870261508,0.092911956,0.534684586,HMGB2,1.813271393,0.000317187,0.551489426,HMGB2,3.530607544,0.1159147,0.283237371,HMGB2,0.996805385,0.98362368,1.003204854,HMGB2,0.809483472,0.278824748,1.235355674,HMGB2,1.418664385,0.203162594,0.704888352,HMGB2,8.29E-10,0.999187871,1206441076,HMGB2,0.80389225,0.675056996,1.243947805,HMGB2,0.706529592,0.19080211,1.415368884,HMGB2,0.876413689,0.501797658,1.14101367,HMGB2,0.596438849,0.008183849,1.676617815,HMGB2,4.757740239,0.000978728,0.210183816,HMGB2,0.940392832,0.855564327,1.063385392
HMOX1,0.61121974,0.50695684,1.63607282,HMOX1,1.24098309,0.79289699,0.80581275,HMOX1,1.15888836,0.57694947,0.86289589,HMOX1,1.0242131,0.87706302,0.97635932,HMOX1,1706716850,0.998970101,5.86E-10,HMOX1,2.05229369,0.23375517,0.4872597,HMOX1,2.96044645,0.10372008,0.33778689,HMOX1,1.60944558,0.18899881,0.62133198,HMOX1,0.92937721,0.89252345,1.07598937,HMOX1,1.88445083,0.60494476,0.53065858,HMOX1,0.76144903,0.24691144,1.31328554,HMOX1,1.2895662,0.11848005,0.77545457,HMOX1,0.77951996,0.28937811,1.28284078,HMOX1,1.20E-09,0.999101033,8.36E+08,HMOX1,1.04566374,0.805852136,0.956330378,HMOX1,1.79833665,0.03369678,0.55606941,HMOX1,1.16272959,0.35237913,0.8600452,HMOX1,1.06122945,0.781065374,0.942303288,HMOX1,1.589591303,0.028991362,0.629092521,HMOX1,1.074034265,0.703831731,0.931068991,HMOX1,0.851547262,0.64975689,1.17433294,HMOX1,0.780825816,0.118901526,1.28069536,HMOX1,4.144452462,0.076382983,0.241286397,HMOX1,0.890994271,0.458458911,1.122341673,HMOX1,1.161517382,0.442902089,0.860942777,HMOX1,1.451202326,0.167220618,0.689083791,HMOX1,0.431528842,0.466969384,2.317342207,HMOX1,0.804054309,0.676799458,1.243697085,HMOX1,1.024165793,0.926564862,0.976404413,HMOX1,1.007432986,0.970219519,0.992621855,HMOX1,0.981647084,0.923682481,1.018696043,HMOX1,0.800157579,0.580557456,1.249753831,HMOX1,1.356309447,0.358411013,0.737294872
HSPB1,1.14928809,0.85556143,0.87010386,HSPB1,0.51807965,0.45123657,1.93020513,HSPB1,1.58175608,0.08993156,0.63220873,HSPB1,1.07127917,0.6568951,0.9334635,HSPB1,1.851392883,0.479079816,0.540133869,HSPB1,0.56931776,0.32603658,1.75648833,HSPB1,1.57344681,0.42793475,0.63554738,HSPB1,1.18345126,0.64236316,0.84498621,HSPB1,0.83550433,0.73804508,1.19688188,HSPB1,0.46813013,0.5355904,2.13615817,HSPB1,1.20199716,0.4133238,0.83194872,HSPB1,1.28958105,0.12286523,0.77544564,HSPB1,0.69017885,0.11170672,1.44889981,HSPB1,3.599860256,0.236922493,0.277788561,HSPB1,0.950829623,0.784088068,1.051713131,HSPB1,1.34888686,0.26154912,0.74135202,HSPB1,1.45797979,0.02307145,0.68588056,HSPB1,1.043237278,0.842284695,0.958554704,HSPB1,2.712150196,7.82E-06,0.368711143,HSPB1,1.009932615,0.958042982,0.990165071,HSPB1,1.557303064,0.223525299,0.642135769,HSPB1,1.641577924,0.002372129,0.609169985,HSPB1,0.28110995,0.113579472,3.557326949,HSPB1,0.883271687,0.431257917,1.132154483,HSPB1,1.617370348,0.014491864,0.618287581,HSPB1,1.39760102,0.22211539,0.715511785,HSPB1,0.571051078,0.579557669,1.751156839,HSPB1,0.816625521,0.699070679,1.224551491,HSPB1,0.890999628,0.656012816,1.122334925,HSPB1,0.923896903,0.687574716,1.08237185,HSPB1,0.88580448,0.530044561,1.128917297,HSPB1,0.452920353,0.065617041,2.207893716,HSPB1,1.018446516,0.954817025,0.981887595
IER3,0.11100794,0.04093708,9.00836499,IER3,0.19584879,0.13882437,5.10597987,IER3,1.85364,0.02201739,0.53947908,IER3,1.18693279,0.27943657,0.84250769,IER3,10.46281173,0.039021434,0.095576603,IER3,3.21557573,0.05383669,0.3109863,IER3,0.98688777,0.98189033,1.01328644,IER3,1.24863916,0.53991738,0.80087189,IER3,0.3758084,0.07487177,2.66093038,IER3,1.82692882,0.62279592,0.5473667,IER3,0.98314828,0.93973264,1.01714057,IER3,0.82503969,0.24535911,1.2120629,IER3,1.06257618,0.79386391,0.941109,IER3,3.395293509,0.276718025,0.294525347,IER3,1.188001912,0.342852915,0.841749487,IER3,1.28202374,0.3512797,0.78001676,IER3,1.23061377,0.19942791,0.81260264,IER3,1.387455043,0.123945022,0.720744074,IER3,1.051574809,0.810012852,0.950954693,IER3,1.423881081,0.060877531,0.702305841,IER3,1.530755774,0.2446845,0.653272074,IER3,1.635661797,0.002564913,0.61137333,IER3,0.573952167,0.432500555,1.74230547,IER3,1.090100274,0.579262949,0.917346802,IER3,1.493244664,0.047829782,0.669682621,IER3,1.268541889,0.403046667,0.788306644,IER3,0.954415755,0.963189486,1.047761414,IER3,0.839481266,0.741350762,1.191211812,IER3,1.792130153,0.027096855,0.557995187,IER3,0.663734438,0.037528463,1.506626662,IER3,1.173805737,0.406690637,0.851929726,IER3,1.05405739,0.8954736,0.948714946,IER3,0.754906392,0.387946353,1.324667549
IFITM3,0.37020746,0.22728099,2.70118818,IFITM3,0.42353972,0.32476934,2.36105367,IFITM3,1.14711007,0.60276497,0.87175593,IFITM3,1.17361055,0.30208713,0.85207141,IFITM3,2.094328945,0.394127029,0.477479912,IFITM3,0.84470479,0.77399684,1.18384554,IFITM3,1.54648789,0.46949649,0.64662647,IFITM3,1.09659231,0.79835206,0.91191593,IFITM3,0.77491577,0.63699047,1.29046283,IFITM3,551443320,0.99886083,1.81E-09,IFITM3,1.22511555,0.36645748,0.81624954,IFITM3,0.63381869,0.0057657,1.57773826,IFITM3,0.66665611,0.08324682,1.50002374,IFITM3,0.320267625,0.214377474,3.122388658,IFITM3,1.125441636,0.5172187,0.888540079,IFITM3,0.57255588,0.04517981,1.74655441,IFITM3,1.32058995,0.09084245,0.75723732,IFITM3,0.889147042,0.590776357,1.12467337,IFITM3,2.140175034,0.000481783,0.467251503,IFITM3,1.278616144,0.19126839,0.782095553,IFITM3,1.405927386,0.354292733,0.711274288,IFITM3,1.693929885,0.001183252,0.590343207,IFITM3,0.567627592,0.423555318,1.761718449,IFITM3,1.251781855,0.149675933,0.798861236,IFITM3,1.460795307,0.063537006,0.684558607,IFITM3,1.064252051,0.81472952,0.939627036,IFITM3,3.177898337,0.321355233,0.314673377,IFITM3,1.449186261,0.474738665,0.690042424,IFITM3,1.272233817,0.355836703,0.786019037,IFITM3,0.68460865,0.055076486,1.460688526,IFITM3,1.040041334,0.839415211,0.961500248,IFITM3,1.182921704,0.677284318,0.845364488,IFITM3,1.608377831,0.155104893,0.621744456
IFNB1,2.20147581,0.47569488,0.45424074,IFNB1,0.75383852,0.79876062,1.32654404,IFNB1,1.10020499,0.74147415,0.90892153,IFNB1,1.07793442,0.6304128,0.92770022,IFNB1,4.777464329,0.155222825,0.209316058,IFNB1,1.24E-08,0.99806424,80484415.7,IFNB1,2.10293088,0.20552438,0.4755268,IFNB1,0.70126307,0.34570578,1.42599838,IFNB1,0.82934928,0.73748143,1.2057646,IFNB1,0.67550742,0.7487966,1.48036863,IFNB1,1.04940609,0.84167315,0.95291995,IFNB1,0.62205728,0.01213099,1.60756899,IFNB1,1.07635464,0.75090265,0.92906182,IFNB1,0.194310766,0.135131723,5.146395234,IFNB1,1.03171553,0.865376235,0.969259424,IFNB1,1.11161058,0.69188131,0.89959561,IFNB1,1.18133187,0.31183139,0.84650218,IFNB1,1.073362748,0.851759527,0.931651487,IFNB1,2.494898871,0.00010733,0.400817849,IFNB1,1.098784815,0.616197179,0.910096305,IFNB1,1.054544016,0.892864827,0.948277156,IFNB1,1.777116351,0.00031897,0.562709358,IFNB1,6.750386409,0.006948258,0.148139668,IFNB1,1.402841268,0.030283237,0.712839024,IFNB1,0.857445967,0.451339815,1.166254246,IFNB1,1.550813816,0.115698719,0.644822731,IFNB1,2.490568953,0.435494132,0.401514682,IFNB1,0.347396926,0.071621869,2.878551665,IFNB1,1.208449014,0.470490726,0.827506985,IFNB1,0.955868588,0.818824649,1.046168911,IFNB1,0.86965757,0.486423061,1.149877877,IFNB1,1.798655571,0.190876581,0.555970813,IFNB1,1.565728388,0.209591539,0.638680379
IFNGR1,0.83841696,0.81047307,1.19272397,IFNGR1,1.64E-09,0.99839202,608009102,IFNGR1,1.23927909,0.41948608,0.80692074,IFNGR1,1.33743416,0.06692386,0.74770036,IFNGR1,0.768343884,0.773857571,1.301500566,IFNGR1,2.29729478,0.16826071,0.43529459,IFNGR1,0.61248407,0.39037099,1.63269552,IFNGR1,1.10123084,0.78917809,0.90807482,IFNGR1,0.67281241,0.46530787,1.48629838,IFNGR1,593563872,0.99885488,1.68E-09,IFNGR1,0.9666361,0.87988984,1.03451547,IFNGR1,0.71455506,0.03827364,1.39947227,IFNGR1,0.61790439,0.0402269,1.61837335,IFNGR1,0.449441309,0.461009469,2.224984621,IFNGR1,1.073859681,0.695011698,0.931220361,IFNGR1,1.16397049,0.57622924,0.85912831,IFNGR1,1.01271551,0.93815951,0.98744415,IFNGR1,1.190573188,0.420232232,0.839931564,IFNGR1,1.525937947,0.05010865,0.655334643,IFNGR1,1.378759587,0.089281143,0.725289608,IFNGR1,2.107888256,0.045803741,0.47440845,IFNGR1,1.153185768,0.36965419,0.867162974,IFNGR1,0.501906964,0.329817341,1.992401126,IFNGR1,1.01389658,0.929233973,0.986293888,IFNGR1,1.04000143,0.841819061,0.96153714,IFNGR1,1.2307669,0.439116126,0.812501538,IFNGR1,3.330828196,0.297502666,0.300225632,IFNGR1,1.14543436,0.80067888,0.873031258,IFNGR1,1.352480977,0.252552152,0.739381934,IFNGR1,1.093073652,0.650308878,0.914851436,IFNGR1,0.60944047,0.01185492,1.640849351,IFNGR1,0.780609017,0.542069147,1.28105105,IFNGR1,1.195849746,0.575277947,0.836225457
IGF2R,1.0694532,0.92610156,0.93505728,IGF2R,2.17198574,0.37628939,0.46040818,IGF2R,1.02619828,0.92232239,0.97447055,IGF2R,1.00829573,0.95739519,0.99177253,IGF2R,0.285844192,0.173829447,3.49840937,IGF2R,1.17188121,0.77644,0.85332881,IGF2R,1.49047646,0.47525961,0.6709264,IGF2R,1.01596125,0.96492771,0.98428951,IGF2R,0.9883842,0.98267617,1.01175231,IGF2R,1.79809856,0.63206067,0.55614304,IGF2R,0.75560876,0.22065414,1.32343621,IGF2R,1.09948574,0.55941317,0.90951612,IGF2R,1.31577772,0.23699133,0.76000679,IGF2R,0.395512894,0.392999626,2.528362578,IGF2R,1.078472411,0.678399579,0.927237442,IGF2R,1.81030808,0.03860046,0.55239217,IGF2R,1.05128672,0.7583907,0.95121529,IGF2R,0.97530274,0.906980192,1.02532266,IGF2R,0.996198581,0.985865528,1.003815925,IGF2R,1.494480417,0.033425278,0.669128875,IGF2R,2.064628267,0.05761927,0.484348692,IGF2R,0.646174163,0.006990445,1.547570387,IGF2R,0.578448619,0.43903514,1.728762015,IGF2R,1.141481097,0.39732637,0.876054805,IGF2R,1.079202526,0.695771093,0.926610136,IGF2R,1.258572469,0.391249356,0.794550989,IGF2R,1.371498847,0.752697969,0.729129304,IGF2R,1.143485901,0.789015295,0.874518872,IGF2R,2.064675127,0.009192672,0.484337699,IGF2R,2.111111159,0.000233566,0.4736842,IGF2R,1.378119019,0.098392477,0.725626732,IGF2R,0.785855318,0.550109137,1.272498865,IGF2R,0.956674189,0.894555814,1.045287948
IGFBP6,0.64958529,0.56006871,1.53944374,IGFBP6,0.4244076,0.32593775,2.35622545,IGFBP6,1.30434383,0.30927349,0.76666901,IGFBP6,1.19718846,0.24198457,0.83529038,IGFBP6,0.262326321,0.224173568,3.812045992,IGFBP6,0.59608683,0.36931444,1.67760796,IGFBP6,2.35083248,0.20041689,0.42538123,IGFBP6,1.35445415,0.40476265,0.7383048,IGFBP6,0.61300193,0.36613733,1.63131623,IGFBP6,0.53330033,0.60777027,1.87511604,IGFBP6,1.31315422,0.23062175,0.76152518,IGFBP6,1.20084472,0.25846192,0.83274714,IGFBP6,0.74604501,0.20832398,1.3404017,IGFBP6,1.723508229,0.48825768,0.580211909,IGFBP6,1.269814365,0.189137068,0.787516686,IGFBP6,1.22962644,0.44194296,0.81325512,IGFBP6,1.40074041,0.04074838,0.71390815,IGFBP6,1.027231607,0.900325361,0.973490294,IGFBP6,1.32540065,0.179301168,0.754488841,IGFBP6,0.901389399,0.58010817,1.109398448,IGFBP6,0.635691083,0.217392766,1.573091123,IGFBP6,1.098265575,0.556246828,0.910526582,IGFBP6,1.48871256,0.553337969,0.671721343,IGFBP6,1.185229397,0.276300186,0.843718526,IGFBP6,1.288505265,0.198440985,0.776093065,IGFBP6,0.775415899,0.360457375,1.289630509,IGFBP6,6.75E-10,0.999166036,1482192824,IGFBP6,0.755056959,0.590210165,1.324403395,IGFBP6,1.024232454,0.926339547,0.976340865,IGFBP6,0.631727553,0.022260814,1.582960876,IGFBP6,0.95154023,0.796973494,1.050927715,IGFBP6,1.930657873,0.114919812,0.51795816,IGFBP6,1.415266485,0.283820892,0.706580712
IL18,0.80607804,0.7779623,1.24057467,IL18,0.62528762,0.58940426,1.59926404,IL18,1.95029013,0.01260339,0.51274422,IL18,0.88762712,0.43893445,1.1265992,IL18,2.266164553,0.354032186,0.441274222,IL18,2.07408863,0.2032796,0.48213947,IL18,1.31576894,0.63799499,0.76001186,IL18,1.0461672,0.90095215,0.95587015,IL18,0.59572828,0.33945852,1.67861765,IL18,2.33584772,0.48860258,0.4281101,IL18,1.04358014,0.84993533,0.95823978,IL18,0.65018641,0.00867355,1.53802046,IL18,0.59359925,0.02803743,1.68463825,IL18,0.877557829,0.865730685,1.139526042,IL18,1.26433896,0.200832687,0.790927142,IL18,0.70001594,0.18562135,1.42853889,IL18,0.99237376,0.96207219,1.00768485,IL18,1.09031847,0.683956725,0.917163221,IL18,2.223790678,0.00031702,0.449682612,IL18,1.189302229,0.35579623,0.840829165,IL18,1.999650901,0.058098934,0.50008729,IL18,1.304091702,0.097326336,0.76681724,IL18,1.894376242,0.366910853,0.527878242,IL18,1.099871873,0.542799956,0.909196812,IL18,1.152392479,0.469548216,0.867759915,IL18,0.534660332,0.021693797,1.870346351,IL18,0.250219598,0.231676238,3.996489513,IL18,0.889509824,0.817631135,1.124214678,IL18,1.134260518,0.627525426,0.881631674,IL18,0.747639868,0.143193254,1.33754237,IL18,0.923607892,0.679932538,1.082710541,IL18,1.040126848,0.921820381,0.961421198,IL18,1.164777825,0.639911895,0.858532828
IL1A,0.86811029,0.84185129,1.15192737,IL1A,1.36411246,0.73391569,0.73307739,IL1A,1.36001501,0.24319978,0.735286,IL1A,1.07350531,0.64760416,0.93152776,IL1A,1.364712463,0.706180991,0.732755087,IL1A,2.10459782,0.20425834,0.47515016,IL1A,1.01315946,0.98127391,0.98701146,IL1A,1.32785938,0.43538109,0.75309179,IL1A,1.67811391,0.38343444,0.5959071,IL1A,0.47095209,0.53871881,2.12335823,IL1A,1.39940494,0.14159908,0.71458944,IL1A,0.985038,0.925959,1.01518926,IL1A,0.80224482,0.34428666,1.24650228,IL1A,1.32E-09,0.999141696,758306493.5,IL1A,1.232744707,0.254246983,0.811197967,IL1A,1.17958896,0.53903112,0.84775293,IL1A,1.20590384,0.24486742,0.82925352,IL1A,1.189327922,0.415172342,0.840811001,IL1A,1.599544068,0.028455656,0.625178149,IL1A,0.927768426,0.689549603,1.077855176,IL1A,0.961807157,0.912778077,1.03970946,IL1A,1.595478068,0.004079017,0.626771386,IL1A,1.532204717,0.525083395,0.652654302,IL1A,1.212126981,0.221988359,0.824996074,IL1A,1.250998726,0.254090756,0.799361326,IL1A,1.732414298,0.042738708,0.577229131,IL1A,2.970921871,0.346300997,0.336595859,IL1A,1.24820178,0.683192782,0.801152519,IL1A,1.810118532,0.027021299,0.552450009,IL1A,0.847627353,0.401685255,1.179763721,IL1A,0.783513146,0.211691029,1.276302771,IL1A,0.965467173,0.930097661,1.035767998,IL1A,0.816072379,0.529732545,1.225381505
IL1B,0.59780999,0.48893524,1.67277231,IL1B,0.20292534,0.14733262,4.92792086,IL1B,0.76726966,0.31705857,1.30332275,IL1B,1.27948216,0.11530167,0.78156619,IL1B,1.317907904,0.746416709,0.758778362,IL1B,2.44114382,0.14640628,0.40964403,IL1B,0.65781603,0.49575261,1.52018186,IL1B,1.25384147,0.53147026,0.79754899,IL1B,0.68169284,0.47628174,1.46693635,IL1B,650251402,0.99885148,1.54E-09,IL1B,1.2796435,0.27840144,0.78146765,IL1B,0.83015157,0.25145035,1.2045993,IL1B,1.03580018,0.87949837,0.96543717,IL1B,3.68E-09,0.998771845,271883603.4,IL1B,0.855669157,0.39811712,1.168675991,IL1B,0.62278725,0.08248232,1.60568477,IL1B,1.35972736,0.05714452,0.73544155,IL1B,1.181535831,0.439044905,0.846356051,IL1B,0.857844163,0.46483993,1.165712892,IL1B,1.075518706,0.698308993,0.929783921,IL1B,1.298009433,0.463582243,0.770410426,IL1B,1.140075476,0.410467295,0.87713491,IL1B,0.599771499,0.469963092,1.667301633,IL1B,1.042202253,0.791427587,0.959506658,IL1B,1.123321899,0.552028078,0.890216777,IL1B,1.500519704,0.132058419,0.666435767,IL1B,1.472219703,0.699314561,0.679246445,IL1B,0.654980244,0.473876601,1.526763608,IL1B,2.037206653,0.008709951,0.490868218,IL1B,1.007575088,0.969464478,0.992481863,IL1B,0.885767936,0.529995302,1.128963874,IL1B,1.361139263,0.450637013,0.734678682,IL1B,0.695754798,0.275572104,1.437287968
IL6,0.86760613,0.84242417,1.15259674,IL6,0.51676714,0.44940695,1.93510754,IL6,1.42157162,0.1795611,0.70344679,IL6,1.25679908,0.14537985,0.79567213,IL6,2.373809561,0.325298482,0.421263785,IL6,3.54786971,0.05777354,0.28185928,IL6,2.77401099,0.18971672,0.36048884,IL6,0.84324388,0.63905046,1.18589654,IL6,7.464227,0.05337607,0.13397235,IL6,1.78E-09,0.99885901,560876834,IL6,1.25436327,0.31652842,0.79721722,IL6,0.93623919,0.68388006,1.06810311,IL6,0.65728194,0.07564049,1.52141712,IL6,0.346581567,0.328136609,2.885323675,IL6,1.381234014,0.08049846,0.72399028,IL6,1.12941167,0.64773349,0.88541674,IL6,1.07881872,0.64004301,0.92693979,IL6,1.403474943,0.12025381,0.712517174,IL6,1.603876273,0.026503938,0.623489491,IL6,0.869351704,0.455616763,1.150282441,IL6,2.195653695,0.055601279,0.455445229,IL6,2.366996779,5.32E-07,0.422476283,IL6,0.946175522,0.934323049,1.056886357,IL6,1.243398238,0.164979204,0.804247561,IL6,1.220879661,0.315071269,0.819081546,IL6,1.372056779,0.235018459,0.728832812,IL6,0.325915916,0.33217328,3.068276049,IL6,0.78108646,0.634922898,1.280268001,IL6,1.393749209,0.209715276,0.717489197,IL6,1.080177806,0.696994018,0.925773511,IL6,1.064813187,0.744755551,0.93913187,IL6,1.543637968,0.287992062,0.647820292,IL6,2.154840942,0.021686795,0.464071376
IRF1,0.71322118,0.64717005,1.40208959,IRF1,2.19919011,0.36728932,0.45471285,IRF1,1.67192205,0.05735456,0.59811401,IRF1,1.02860657,0.85719906,0.972189,IRF1,2.52982426,0.290127462,0.395284374,IRF1,3.61451902,0.05797608,0.27666198,IRF1,2.0083549,0.25614087,0.49791996,IRF1,0.95694833,0.90293918,1.0449885,IRF1,0.68997707,0.49287792,1.44932353,IRF1,2.12566031,0.53817728,0.47044205,IRF1,1.53268449,0.05860652,0.65245,IRF1,0.62985563,0.00463281,1.58766542,IRF1,0.47426882,0.0021338,2.10850883,IRF1,0.563209427,0.59706348,1.775538463,IRF1,0.886154678,0.509137816,1.128471163,IRF1,0.53916137,0.03487639,1.85473228,IRF1,0.91327702,0.58052978,1.09495802,IRF1,0.989733706,0.961482823,1.010372784,IRF1,2.069541747,0.000741833,0.483198757,IRF1,1.100487376,0.611318889,0.908688297,IRF1,2.715693219,0.011121595,0.368230105,IRF1,1.19232159,0.270578424,0.838699901,IRF1,2.644579504,0.169536778,0.378131948,IRF1,0.860676023,0.334796017,1.161877377,IRF1,1.184504926,0.387106529,0.844234564,IRF1,1.383011381,0.225757641,0.723059849,IRF1,1.109668628,0.917142928,0.90116993,IRF1,1.065082532,0.901489338,0.938894377,IRF1,0.775799968,0.330383596,1.288992061,IRF1,0.569081414,0.004938338,1.757217816,IRF1,0.755234081,0.146630282,1.324092788,IRF1,0.369470462,0.021237859,2.706576314,IRF1,0.948312579,0.87529223,1.054504625
